Date,btc_tweets,btc_activeaddresses,btc_mining_profitability,btc_transactionfees,btc_median_transaction_fee,btc_mediantransactionvalue,sub_growth_%chg,btc_gtrends,buybitcoin_gtrends,ETH_gtrends,crypto_gtrends
2018-08-31,32099,589527,0.282,0.746,0.202,327.475,0.0007139336824699694,10.215064094874705,0.04342732310879867,1.0221308310670725,1.7587235065238571
2018-09-01,30166,513465,0.257,0.641,0.146,295.232,0.000713424344800373,9.345696937864092,0.04342732310879867,0.7665981233003044,1.538883068208375
2018-09-02,29111,442960,0.264,0.632,0.129,289.786,0.0007129157333602976,9.780380516369398,0.04342732310879867,0.7665981233003044,1.538883068208375
2018-09-03,34835,525670,0.271,0.65,0.115,347.18,0.0007124078465978734,9.997722305622052,0.04342732310879867,1.0221308310670725,1.538883068208375
2018-09-04,35005,552331,0.26,0.761,0.197,365.882,0.0007119006829654495,11.084431251885318,0.04342732310879867,1.0221308310670725,1.7587235065238571
2018-09-05,35456,540142,0.286,0.923,0.304,400.088,0.0007113942409193719,12.823165565906544,0.04342732310879867,1.2776635388338407,2.1984043831548212
2018-09-06,37078,585513,0.247,0.8,0.273,409.83,0.0007108885189210934,14.344558090675116,0.04342732310879867,1.2776635388338407,2.1984043831548212
2018-09-07,33033,617704,0.241,0.782,0.242,322.874,0.0007103835154358418,11.736456619643278,0.04342732310879867,1.2776635388338407,1.7587235065238571
2018-09-08,28446,489875,0.227,0.588,0.177,262.017,0.0007098792289337297,9.997722305622052,0.04342732310879867,1.0221308310670725,1.7587235065238571
2018-09-09,30519,446194,0.245,0.614,0.172,264.18,0.0007093756578886445,9.563038727116746,0.04342732310879867,1.2776635388338407,1.538883068208375
2018-09-10,33868,535579,0.201,0.568,0.118,330.742,0.0007088728007793588,10.649747673380013,0.04342732310879867,1.0221308310670725,1.7587235065238571
2018-09-11,32809,549992,0.224,0.619,0.144,331.779,0.0007083706560884195,10.432405884127359,0.04342732310879867,1.0221308310670725,1.7587235065238571
2018-09-12,29716,534811,0.258,0.645,0.171,317.817,0.0007078692223028149,11.519114830390626,0.04342732310879867,1.5331962466006088,2.1984043831548212
2018-09-13,32269,541694,0.221,0.559,0.121,334.047,0.0007073684979144179,10.867089462632666,0.04342732310879867,1.2776635388338407,1.7587235065238571
2018-09-14,31041,527742,0.222,0.619,0.144,325.257,0.0007068684814184323,9.780380516369398,0.04342732310879867,1.2776635388338407,1.7587235065238571
2018-09-15,27319,502091,0.245,0.486,0.122,248.545,0.0007063691713149467,8.693671570106131,0.04342732310879867,0.7665981233003044,1.319042629892893
2018-09-16,26995,419923,0.228,0.473,0.0943,242.653,0.0007058705661082687,8.258987991600826,0.04342732310879867,1.0221308310670725,1.319042629892893
2018-09-17,31037,560269,0.235,0.466,0.0782,299.018,0.0007053726643062586,9.345696937864092,0.04342732310879867,1.2776635388338407,1.7587235065238571
2018-09-18,30885,568820,0.221,0.491,0.105,300.528,0.0007048754644218835,9.780380516369398,0.04342732310879867,1.2776635388338407,1.7587235065238571
2018-09-19,31000,540959,0.239,0.433,0.0762,249.688,0.0007043789649718857,9.563038727116746,0.04342732310879867,1.2776635388338407,1.7587235065238571
2018-09-20,32268,542894,0.231,0.463,0.0871,288.913,0.0007038831644770038,9.128355148611439,0.04342732310879867,1.2776635388338407,1.7587235065238571
2018-09-21,34302,620832,0.243,0.626,0.131,318.955,0.0007033880614624177,10.215064094874705,0.04342732310879867,1.2776635388338407,2.1984043831548212
2018-09-22,27695,505853,0.235,0.556,0.0921,235.481,0.0007028936544575259,8.911013359358785,0.04342732310879867,1.0221308310670725,1.538883068208375
